scenario,total_strategies,applied,warnings,errors,application_rate
01_awad_delivery_of_goods,13,12,5,1,92.31
02_de_masellis_loan_approval,13,13,3,0,100.0
03_elgammal_loan_approval,6,4,4,2,66.67
04_ghose_package_screening,5,5,0,0,100.0
05_loebbecke_blood_collection,3,3,3,0,100.0
06_BPMQ,15,15,15,0,100.0
07_CRL,11,8,0,3,72.73
09_HaarmannetAL2021,3,1,0,2,33.33
11_PCL,9,8,5,1,88.89
12_PPSL,11,11,4,0,100.0
13_Status,7,7,0,0,100.0
14_SunetAl24,7,7,0,0,100.0
15_WinteretAlER,6,6,0,0,100.0
16_Zasadaetal23,7,7,7,0,100.0
